epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,3000,321,679
0,0.7218450307846069,0.8591533303260803,0.9769949316978455,0.39938846230506897,3150,343,707
1,0.7032747864723206,0.8827111124992371,1.086829662322998,0.3504765033721924,3300,363,737
2,0.7115615010261536,0.8653846383094788,0.9561790823936462,0.407894104719162,3450,388,762
3,0.7225439548492432,0.8847934603691101,0.9910850524902344,0.34983599185943604,3600,407,793
4,0.7436102032661438,0.8827433586120605,0.8850957751274109,0.36805906891822815,3750,429,821
5,0.7449081540107727,0.863170862197876,0.8425607085227966,0.4175102114677429,3900,450,850
6,0.7500998377799988,0.8730971813201904,0.8190740346908569,0.37413689494132996,4050,469,881
7,0.7484025359153748,0.873140811920166,0.8413259387016296,0.3850632309913635,4200,487,913
8,0.7407148480415344,0.8851799368858337,0.8664857149124146,0.3394795358181,4350,506,944
9,0.7549920082092285,0.8760570287704468,0.812501847743988,0.3697843849658966,4500,531,969
10,0.7385183572769165,0.8718528747558594,0.8674948215484619,0.3895365297794342,4650,555,995
11,0.7562899589538574,0.8811215758323669,0.8689460158348083,0.3521362841129303,4800,580,1020
12,0.7555910348892212,0.8795833587646484,0.8551666140556335,0.3532145321369171,4950,602,1048
13,0.7627795338630676,0.8746150732040405,0.8074101805686951,0.3765403926372528,5100,621,1079
14,0.7539936304092407,0.8800129890441895,0.8061918616294861,0.3510798513889313,5250,639,1111
15,0.7546924948692322,0.8606060743331909,0.8319172859191895,0.41422775387763977,5400,658,1142
16,0.7439097166061401,0.876787543296814,0.9610162973403931,0.3669850826263428,5550,681,1169
17,0.7609824538230896,0.8713054656982422,0.793646514415741,0.3922531008720398,5700,700,1200
18,0.7615814805030823,0.8727304339408875,0.8038521409034729,0.3732030391693115,5850,718,1232
19,0.7591853141784668,0.8735681772232056,0.786049485206604,0.390262633562088,6000,742,1258
20,0.7592851519584656,0.8773271441459656,0.792422354221344,0.3685089349746704,6150,761,1289
21,0.7719648480415344,0.8735427260398865,0.7482030391693115,0.3893921971321106,6300,784,1316
22,0.7693690061569214,0.8846083879470825,0.7532092332839966,0.34775617718696594,6450,799,1351
